iter	Logloss
0	0.6556824267
1	0.6262874035
2	0.6035274647
3	0.5842302753
4	0.56933247
5	0.5574666274
6	0.5477830062
7	0.5399269111
8	0.5340822728
9	0.5289463584
10	0.5251042266
11	0.5217957124
12	0.5190578832
13	0.5169227465
14	0.5153455514
15	0.5137678894
16	0.5123978894
17	0.5112030403
18	0.5103439489
19	0.5095802273
20	0.508804755
21	0.5082475543
22	0.5077529161
23	0.5073617754
24	0.5069823559
25	0.5066678623
26	0.5063348459
27	0.5061496557
28	0.5059080009
29	0.5056649383
30	0.5054935956
31	0.5052655587
32	0.5050666839
33	0.5049022836
34	0.504750175
35	0.5046319185
36	0.504524909
37	0.5044173957
38	0.5042969313
39	0.5041744442
40	0.504066842
41	0.5039627888
42	0.503852912
43	0.5037447541
44	0.5036585864
45	0.5035546294
46	0.5034637866
47	0.5034048324
48	0.5033279187
49	0.5032278515
50	0.5031602954
51	0.5030823888
52	0.5030192338
53	0.5029420755
54	0.5028528108
55	0.5027795793
56	0.5027086595
57	0.5026523801
58	0.5025829569
59	0.502517957
60	0.5024777775
61	0.5024306483
62	0.5023633515
63	0.5023009225
64	0.5022628768
65	0.5022099018
66	0.5021349959
67	0.5020799019
68	0.5020338841
69	0.5019970239
70	0.501931246
71	0.5018798343
72	0.5018037577
73	0.5017232654
74	0.5016780699
75	0.5016129366
76	0.5015555903
77	0.5015042157
78	0.5014540043
79	0.5014213894
80	0.5013875373
81	0.5013510698
82	0.501316573
83	0.5012615643
84	0.5012122827
85	0.5011563996
86	0.5011054881
87	0.5010597444
88	0.5010145822
89	0.5009677642
90	0.5009402728
91	0.5008967888
92	0.5008528863
93	0.5008099913
94	0.5007488478
95	0.5006982919
96	0.5006673923
97	0.5006291725
98	0.500589319
99	0.500542049
100	0.5004830356
101	0.500435021
102	0.500393945
103	0.5003620785
104	0.5003191317
105	0.5002764739
106	0.5002401397
107	0.5002223875
108	0.5001859941
109	0.5001556724
110	0.500119805
111	0.5000891128
112	0.5000430172
113	0.5000131622
114	0.4999716676
115	0.4999375006
116	0.4999019444
117	0.499870478
118	0.4998407675
119	0.499790382
120	0.4997553333
121	0.4997099304
122	0.4996626345
123	0.4996336168
124	0.4995715768
125	0.4995307231
126	0.499483153
127	0.499459318
128	0.4994139151
129	0.4993980003
130	0.4993523085
131	0.4993341043
132	0.4993032121
133	0.4992634364
134	0.4992273431
135	0.4991893492
136	0.4991589312
137	0.4991311953
138	0.4990952983
139	0.4990666251
140	0.4990493286
141	0.4990209369
142	0.4989861772
143	0.4989277084
144	0.4989026916
145	0.4988522431
146	0.4988006573
147	0.4987762554
148	0.498723273
149	0.4986887319
150	0.4986462926
151	0.498604998
152	0.4985772325
153	0.498543673
154	0.4984995852
155	0.4984592353
156	0.4984227085
157	0.4983880784
158	0.4983361296
159	0.4983150433
160	0.4982702331
161	0.4982220629
162	0.4981854398
163	0.4981449454
164	0.4981016874
165	0.4980720177
166	0.4980444485
167	0.4980169386
168	0.4979999829
169	0.497974792
170	0.4979390839
171	0.4979031868
172	0.4978707165
173	0.4978528976
174	0.4978206347
175	0.4977935916
176	0.4977602581
177	0.4977336483
178	0.4977157776
179	0.4976749794
180	0.4976289579
181	0.4975867631
182	0.4975465836
183	0.4975110607
184	0.4974900004
185	0.4974547776
186	0.4974392741
187	0.497411853
188	0.4973866658
189	0.4973659833
190	0.4973316718
191	0.4973049139
192	0.497282946
193	0.497249731
194	0.4972215246
195	0.4971960596
196	0.4971689719
197	0.4971508678
198	0.4971135075
199	0.4970871163
200	0.4970563797
201	0.4970324965
202	0.4969980442
203	0.4969697415
204	0.4969532674
205	0.4969340445
206	0.4969129694
207	0.496888512
208	0.4968658401
209	0.4968454577
210	0.4968264312
211	0.4967907305
212	0.4967741823
213	0.4967627315
214	0.4967305316
215	0.4967034181
216	0.4966756488
217	0.4966556072
218	0.4966300533
219	0.4966027545
220	0.4965835242
221	0.4965441301
222	0.49652447
223	0.4964987679
224	0.4964681906
225	0.4964290891
226	0.4964089364
227	0.496376229
228	0.4963476558
229	0.4963192457
230	0.4962985002
231	0.4962764693
232	0.496250593
233	0.4962297735
234	0.4962079796
235	0.4961693561
236	0.4961306547
237	0.4961136508
238	0.4960923052
239	0.4960617613
240	0.4960389264
241	0.4960229117
242	0.4959885372
243	0.4959666248
244	0.4959380961
245	0.4959113049
246	0.495889248
247	0.4958619529
248	0.4958307347
249	0.4958165759
250	0.4957938967
251	0.4957663757
252	0.4957458488
253	0.4957117966
254	0.4956972489
255	0.495682916
256	0.4956561766
257	0.4956390727
258	0.4956204351
259	0.4956001787
260	0.4955750989
261	0.4955539385
262	0.4955291922
263	0.4955103323
264	0.4954889608
265	0.4954626771
266	0.4954392199
267	0.4954184633
268	0.4953890122
269	0.4953739977
270	0.4953555676
271	0.4953279502
272	0.4953109463
273	0.4952849589
274	0.4952705371
275	0.4952579861
276	0.4952414935
277	0.4952208555
278	0.4951967945
279	0.4951784162
280	0.4951601639
281	0.4951332912
282	0.4951083336
283	0.4950914743
284	0.4950697878
285	0.495049298
286	0.4950331091
287	0.495020573
288	0.4949989532
289	0.4949795933
290	0.4949609187
291	0.4949342497
292	0.4949120113
293	0.4948899729
294	0.4948624074
295	0.4948462149
296	0.4948211351
297	0.4948122849
298	0.4947888463
299	0.4947709904
300	0.4947505783
301	0.4947314295
302	0.4947114287
303	0.4946935469
304	0.4946748797
305	0.4946571719
306	0.4946302695
307	0.4946074977
308	0.4945844925
309	0.4945639508
310	0.4945364741
311	0.4945153694
312	0.4945005882
313	0.494467866
314	0.4944486505
315	0.4944336804
316	0.4944133832
317	0.4944015287
318	0.4943706513
319	0.4943486352
320	0.4943276452
321	0.4942991795
322	0.4942842243
323	0.4942690393
324	0.494250687
325	0.4942347686
326	0.4942163941
327	0.4941951559
328	0.4941817417
329	0.4941607296
330	0.4941458188
331	0.4941226987
332	0.4941017903
333	0.4940771106
334	0.4940541794
335	0.4940340378
336	0.494024306
337	0.4940064797
338	0.4939890017
339	0.4939656075
340	0.4939477256
341	0.4939257688
342	0.4939054642
343	0.4938895606
344	0.4938617506
345	0.4938449579
346	0.4938249792
347	0.4938142546
348	0.4937985844
349	0.4937734713
350	0.4937631911
351	0.4937385856
352	0.4937206444
353	0.493702218
354	0.4936780607
355	0.4936506767
356	0.4936403558
357	0.4936178878
358	0.4936029881
359	0.4935769229
360	0.4935516098
361	0.4935358692
362	0.4935052326
363	0.4934812605
364	0.493465279
365	0.4934421071
366	0.4934025537
367	0.4933810118
368	0.4933567952
369	0.493347619
370	0.4933346049
371	0.4933125333
372	0.4932884204
373	0.4932654892
374	0.4932547201
375	0.4932360937
376	0.4932221164
377	0.4932080429
378	0.4931986629
379	0.4931874604
380	0.4931650257
381	0.493152082
382	0.4931431096
383	0.4931192708
384	0.493101715
385	0.493087108
386	0.4930754905
387	0.4930567752
388	0.4930405233
389	0.4930157955
390	0.4929983063
391	0.4929716744
392	0.4929546038
393	0.4929357477
394	0.4929137242
395	0.4928832543
396	0.4928653058
397	0.4928488613
398	0.4928292198
399	0.4928075408
400	0.4927914742
401	0.4927686134
402	0.4927519393
403	0.4927334721
404	0.4927108151
405	0.4926930222
406	0.4926748848
407	0.4926504014
408	0.4926389803
409	0.4926296634
410	0.4926144599
411	0.4925973412
412	0.49257421
413	0.4925635447
414	0.4925535424
415	0.4925361421
416	0.4925228132
417	0.4925092027
418	0.4924859826
419	0.492462907
420	0.4924533826
421	0.4924309034
422	0.4924033638
423	0.4923916575
424	0.4923692376
425	0.492346725
426	0.4923356781
427	0.4923120357
428	0.4922832958
