iter	Passed	Remaining
0	202	202592
1	236	118161
2	272	90437
3	309	77117
4	343	68432
5	376	62403
6	416	59051
7	455	56446
8	492	54208
9	533	52815
10	572	51433
11	613	50538
12	667	50666
13	714	50290
14	769	50526
15	820	50437
16	900	52052
17	962	52527
18	1004	51879
19	1043	51122
20	1084	50537
21	1124	49991
22	1167	49612
23	1208	49163
24	1248	48672
25	1285	48142
26	1325	47762
27	1364	47374
28	1408	47165
29	1472	47623
30	1528	47777
31	1571	47530
32	1613	47280
33	1662	47224
34	1715	47294
35	1771	47434
36	1836	47800
37	1908	48321
38	1988	49006
39	2047	49148
40	2111	49386
41	2158	49223
42	2202	49008
43	2256	49021
44	2304	48910
45	2355	48846
46	2395	48573
47	2436	48319
48	2476	48057
49	2519	47863
50	2556	47569
51	2593	47282
52	2634	47069
53	2675	46873
54	2714	46648
55	2753	46409
56	2793	46212
57	2830	45963
58	2889	46080
59	2941	46084
60	2996	46127
61	3037	45959
62	3077	45768
63	3116	45574
64	3182	45782
65	3234	45778
66	3290	45827
67	3340	45783
68	3381	45619
69	3420	45447
70	3460	45279
71	3501	45132
72	3539	44940
73	3601	45065
74	3659	45139
75	3706	45068
76	3746	44906
77	3792	44831
78	3854	44931
79	3924	45130
80	3981	45168
81	4025	45066
82	4066	44930
83	4108	44796
84	4147	44646
85	4203	44676
86	4243	44532
87	4282	44381
88	4323	44251
89	4381	44297
90	4439	44345
91	4508	44499
92	4553	44410
93	4593	44268
94	4638	44183
95	4676	44036
96	4717	43919
97	4756	43783
98	4800	43688
99	4848	43633
100	4891	43543
101	4938	43474
102	4991	43473
103	5047	43486
104	5097	43452
105	5134	43304
106	5176	43204
107	5217	43095
108	5258	42985
109	5296	42854
110	5337	42745
111	5376	42627
112	5412	42483
113	5450	42357
114	5488	42238
115	5528	42133
116	5591	42202
117	5644	42191
118	5711	42285
119	5760	42244
120	5817	42261
121	5864	42205
122	5900	42072
123	5941	41973
124	5983	41882
125	6020	41760
126	6059	41650
127	6099	41549
128	6152	41539
129	6199	41491
130	6253	41483
131	6286	41341
132	6329	41260
133	6372	41185
134	6411	41080
135	6450	40981
136	6489	40880
137	6538	40841
138	6587	40801
139	6640	40794
140	6686	40734
141	6722	40618
142	6780	40637
143	6842	40674
144	6894	40652
145	6933	40556
146	6971	40451
147	7027	40453
148	7070	40383
149	7107	40274
150	7145	40176
151	7195	40141
152	7249	40130
153	7301	40110
154	7349	40068
155	7389	39977
156	7428	39886
157	7468	39799
158	7507	39710
159	7562	39705
160	7605	39634
161	7645	39549
162	7684	39459
163	7723	39372
164	7763	39288
165	7809	39237
166	7875	39281
167	7939	39321
168	8001	39345
169	8051	39311
170	8095	39246
171	8148	39225
172	8201	39205
173	8255	39189
174	8297	39115
175	8337	39035
176	8378	38957
177	8415	38864
178	8454	38776
179	8494	38694
180	8533	38611
181	8568	38510
182	8614	38457
183	8665	38427
184	8719	38413
185	8771	38385
186	8821	38351
187	8879	38353
188	8936	38348
189	8989	38323
190	9043	38303
191	9097	38283
192	9162	38312
193	9226	38333
